Time,card_11_avg_CPU,card_12_avg_CPU,card_13_avg_CPU,card_14_avg_CPU,card_15_avg_CPU,card_16_avg_CPU,card_17_avg_CPU
03/01/2017 14:11,11.125,9.25,10.375,11.25,8.6875,8.9375,8.5625
03/01/2017 14:12,10.625,8.875,10.25,10.9375,8.8125,8.8125,8.9375
03/01/2017 14:13,10.8125,9.125,10.25,11.0625,8.75,8.75,8.5
03/01/2017 14:14,10.625,9.0625,10.4375,10.875,9,8.8125,8.625
03/01/2017 14:15,10.875,9.0625,10.375,11,8.9375,8.75,8.75
03/01/2017 14:16,10.4375,9.125,10.6875,10.8125,9,9.0625,8.8125
03/01/2017 14:17,10.9375,8.75,10.25,11.1875,8.8125,8.8125,9.0625
03/01/2017 14:18,10.5625,9.25,10.5,11.0625,8.8125,9.0625,8.875
03/01/2017 14:19,10.875,8.875,10.125,11.0625,9.0625,8.875,8.875
03/01/2017 14:20,10.75,9.375,10.4375,11.25,8.8125,9,8.6875
03/01/2017 14:21,10.75,9.375,10.4375,11.25,8.8125,9,8.6875
03/01/2017 14:22,10.75,8.8125,10.125,10.875,9.1875,8.5625,8.9375
03/01/2017 14:23,10.4375,9,10.6875,11.0625,8.6875,8.9375,8.75
03/01/2017 14:24,10.875,8.75,10.375,11.0625,9.125,9,8.75
03/01/2017 14:25,10.6875,9,10.6875,11.25,8.8125,8.75,8.9375
03/01/2017 14:26,11.125,8.9375,10.375,11.125,9,8.9375,8.875
03/01/2017 14:27,10.75,9.0625,10.6875,11.25,9,8.875,8.9375
03/01/2017 14:28,11,9.1875,10.25,11.125,9,9.0625,8.5625
03/01/2017 14:29,10.8125,9.0625,10.5625,11.3125,8.9375,8.75,8.875
03/01/2017 14:30,11.125,9.5,10.375,10.9375,8.9375,9,8.9375
03/01/2017 14:31,10.9375,8.9375,10.8125,11,9.3125,8.875,8.9375
03/01/2017 14:32,11.25,9.5,10.5,11.1875,9,9.125,9.1875
03/01/2017 14:33,10.6875,9.0625,10.875,11.3125,9.0625,8.9375,8.9375
03/01/2017 14:34,10.875,9.4375,10.625,11.25,8.625,9.0625,9.125
03/01/2017 14:35,10.875,9.4375,10.625,11.25,8.625,9.0625,9.125
03/01/2017 14:36,10.875,9.1875,10.6875,11.3125,9.5,9.0625,8.875
03/01/2017 14:37,11,9.1875,10.5625,11.375,9.375,9,9.1875
03/01/2017 14:38,10.75,9.1875,10.875,11.3125,9.4375,9.25,9
03/01/2017 14:39,10.9375,9.0625,10.5,11.125,9.375,8.875,9.0625
03/01/2017 14:40,10.625,9.3125,11,11.375,9.375,9.25,9.0625
03/01/2017 14:41,11.1875,9.125,10.5625,11.1875,9.1875,8.9375,8.9375
03/01/2017 14:42,10.625,9.375,10.6875,11.625,9.1875,9.0625,9.0625
03/01/2017 14:43,11.1875,9.25,10.375,11.125,9.25,8.9375,8.875
